"99496","Itabira"
"99390","Votorantim"
"99211","Sertaozinho"
"98989","Santana de Parnaiba"
"98940","Bage"
"98752","Passos"
"98387","Salto"
"97828","Uba"
"97799","Ourinhos"
"97521","Trindade"
"97512","Arapongas"
"96565","Araguari"
"96520","Corumba"
"96087","Erechim"
"95101","Japeri"
"94749","Vespasiano"
"94668","Campo Largo"
"93580","Tatui"
"92575","Patos"
"91722","Timoteo"
"91173","Muriae"
"91080","Cambe"
"91056","Bayeux"
"90852","Bento Goncalves"
"90843","Caraguatatuba"
"90385","Itanhaem"
"89694","Santana do Livramento"
"89499","Almirante Tamandare"
"88853","Planaltina"
"88786","Crato"
"88630","Valinhos"
"88416","Sao Lourenco da Mata"
"88399","Nova Lima"
"88284","Brusque"
"87668","Barra do Pirai"
"87236","Alegrete"
"87188","Caieiras"
"86662","Barra do Corda"
"86457","Igarassu"
"85350","Paulo Afonso"
"85345","Ituiutaba"
"84902","Esteio"
"84697","Sarandi"
"84435","Itaperuna"
"83927","Santana"
"83667","Jardim Paulista"
"83288","Codo"
"82595","Araxa"
"81959","Abreu e Lima"
"81870","Itajuba"
"81472","Lavras"
"81285","Avare"
"81232","Formosa"
"81209","Leme"
"79819","Cruzeiro do Sul"
"79582","Itumbiara"
"79551","Marica"
"79007","Ubatuba"
"78712","Tres Lagoas"
"78592","Sao Joao del Rei"
"78244","Mogi Mirim"
"78050","Abaetetuba"
"77597","Sao Bento do Sul"
"77400","Itauna"
"77117","Sao Mateus"
"76547","Jatai"
"76540","Sao Joao da Boa Vista"
"76506","Lorena"
"76450","Santa Cruz do Capibaribe"
"76367","Sao Sebastiao"
"76337","Tucurui"
"76310","Embu Guacu"
"76051","Sapiranga"
"75786","Para de Minas"
"75401","Campo Mourao"
"74694","Cachoeira do Sul"
"73957","Santo Antonio de Jesus"
"72848","Paranavai"
"72762","Joao Monlevade"
"72468","Matao"
"72372","Bacabal"
"72340","Cacapava"
"72077","Aruja"
"72022","Cruzeiro"
"71963","Patrocinio"
"71944","Tres Rios"
"71862","Bebedouro"
"71539","Sao Cristovao"
"71406","Alfenas"
"71202","Ijui"
"70888","Altamira"
"70753","Paracatu"
"70689","Carpina"
"70380","Iguatu"
"69863","Votuporanga"
"69613","Paragominas"
"69451","Lins"
"69394","Jaboticabal"
"68680","Vicosa"
"68654","Sao Sebastiao do Paraiso"
"68056","Balsas"
"67934","Itatiba"
"67424","Santa Ines"
"67245","Tubarao"
"65754","Pato Branco"
"65595","Paulinia"
"65407","Lajeado"
"65275","Cruz Alta"
"65116","Aquiraz"
"64937","Itacoatiara"
"64789","Gurupi"
"64756","Itaituba"
"64606","Santo Angelo"
"64428","Parintins"
"63954","Curvelo"
"63888","Itabaiana"
"63726","Cacador"
"63678","Ouro Preto"
"63675","Caldas Novas"
"63626","Irece"
"63544","Catalao"
"63457","Tres Coracoes"
"63387","Rio Largo"
"63231","Vilhena"
"63231","Valenca"
"63030","Peruibe"
"62957","Itapeva"
"62618","Cataguases"
"62056","Saquarema"
"62035","Tupa"
"61931","Fernandopolis"
"61800","Senador Canedo"
"61607","Itapira"
"61249","Gravata"
"61144","Valenca"
"60413","Pirassununga"
"60202","Unai"
"60066","Caratinga"
"59721","Itapetinga"
"59654","Mococa"
